id,artistName,projectName,image,description,label,url,projectType,releaseDate
is_our_children_learning,Is Our Children Learning,Is Our Children Learning,images/resized/iocl_lil.jpg,"co-writing, production, arranging",Epidemic Sound,https://open.spotify.com/album/5zhcFEb2pttIfOzgKmxW6Q?si=gyx_3k-DRjaJ23QEq1CcZw,Collaborative Projects,2022-09-30
kill_me_while_i'm_driving,Is Our Children Learning,Kill Me While I'm Driving,images/resized/lil_kmwid.png,"co-writing, production, arranging",Self-Released,https://open.spotify.com/album/5WCMhEBcFS5AuMNYVcCXOe,"Collaborative Projects, Selected Works - My Best Stuff",2024-07-04
songs_for_rich_people,Big Soda,Songs for Rich People!,images/resized/big_sfrp.png,"all production, all writing",Self-Released,https://open.spotify.com/album/3uUfO1iIgATtPXrl0AvAl4,Solo Material,2020-09-30
big_soda,Big Soda,Big Soda!,images/resized/lil_big_big_big.jpg,"all production, all writing",Self-Released,https://open.spotify.com/album/1dohDK6HhYhQ6vnEZJe5QI,Solo Material,2020-01-07
"aw,_poor_you",Big Soda,"Aw, Poor You!",images/resized/big_apy.jpg,"all production, all writing",Self-Released,https://open.spotify.com/album/3LEkVZ6suLHIzUs7o6Cdwb,Solo Material,2018-11-29
sugarhead,Big Soda,Sugarhead!,images/resized/lil_sugarhead.jpg,"all production, all writing",Self-Released,https://open.spotify.com/album/4vKCHkXO7pu6H9kVb9aECa,Solo Material,2017-12-12
soda_de_beber,Big Soda,Soda de Beber,images/resized/big_beber.jpg,all vocal performance,"Self-Released, bandcamp only",https://therealbigsoda.bandcamp.com/album/soda-de-beber,Collaborative Projects,2019-05-14
surf's_up,Surfer Dave,Surf's Up!,images/resized/lil_surfsup.png,"all production, all writing",Self-Released,https://open.spotify.com/album/0Td9C4ZW9n9pfK03UZy9NI,Solo Material,2021-02-11
take_me_somewhere_warm,Surfer Dave,Take Me Somewhere Warm,images/resized/lil_tmsw.png,"all production, all writing",Secret Souls,https://open.spotify.com/album/5FcnST5e1A5mhldYlSxd3h,Solo Material,2023-12-01
the_waves_are_a_scary_place,Surfer Dave,the waves are a scary place,images/resized/lil_twaasp.png,"all production, all writing",The Retune Project,https://open.spotify.com/album/5MTtDjq255sriOGlWZTxOr,"Solo Material, Selected Works - My Best Stuff",2024-11-29
